,date,home_team,away_team,winner,country,year,continent,lifeExp,pop,gdpPercap
56,2002-02-15,China PR,Slovenia,Slovenia,Argentina,2002,Americas,74.34,38331121,8797.640716
57,2002-02-16,Thailand,North Korea,North Korea,Argentina,2002,Americas,74.34,38331121,8797.640716
58,2002-03-30,Botswana,South Africa,South Africa,Argentina,2002,Americas,74.34,38331121,8797.640716
59,2002-05-17,Russia,Belarus,Belarus,Argentina,2002,Americas,74.34,38331121,8797.640716
60,2002-05-19,Russia,Serbia,Serbia,Argentina,2002,Americas,74.34,38331121,8797.640716
61,2002-06-16,Spain,Republic of Ireland,Spain,Argentina,2002,Americas,74.34,38331121,8797.640716
62,2002-06-22,South Korea,Spain,South Korea,Argentina,2002,Americas,74.34,38331121,8797.640716
63,2002-07-21,South Africa,Madagascar,South Africa,Argentina,2002,Americas,74.34,38331121,8797.640716
64,2007-04-29,Mozambique,Zimbabwe,Mozambique,Uruguay,2007,Americas,76.384,3447496,10611.46299
65,2007-05-26,Malawi,South Africa,South Africa,Uruguay,2007,Americas,76.384,3447496,10611.46299
66,2007-05-26,Eswatini,Mauritius,Mauritius,Uruguay,2007,Americas,76.384,3447496,10611.46299
67,2007-07-10,Uruguay,Brazil,Brazil,Uruguay,2007,Americas,76.384,3447496,10611.46299
68,2007-07-21,Japan,Australia,Japan,Uruguay,2007,Americas,76.384,3447496,10611.46299
69,2007-07-22,Iran,South Korea,South Korea,Uruguay,2007,Americas,76.384,3447496,10611.46299
70,2007-07-25,Iraq,South Korea,Iraq,Uruguay,2007,Americas,76.384,3447496,10611.46299
71,2007-07-28,South Korea,Japan,South Korea,Uruguay,2007,Americas,76.384,3447496,10611.46299
72,2007-07-29,Botswana,Angola,Botswana,Sweden,2007,Europe,80.884,9031088,33859.74835
73,2007-10-24,South Africa,Zambia,South Africa,Sweden,2007,Europe,80.884,9031088,33859.74835
